################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sun Aug 24 19:55:40 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     Report Location  : ./spyglass-1/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_glitch03/Asynchronous_Sources_01.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Ac_glitch03 Rule
#
################################################################################
##Sheet_Prop:disable_row_filtering
#Destination flop: SYSTEM_TOP.U0_DATA_SYNC.U0_BIT_SYNC.q[0][0]
Type, Source, Clock(s), Internal Clock Domain Tag
flop,SYSTEM_TOP.U0_UART.U0_RX.fsm_inst.cs[2:0],"SYSTEM_TOP.UART_CLK",1
flop,SYSTEM_TOP.U0_UART.U0_RX.stp_chk_inst.stp_err,"SYSTEM_TOP.UART_CLK",1
