################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sun Aug 24 23:38:00 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     Report Location  : ./system_top_spyglass/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_clockperiod02.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : Rounded clock period details
#
################################################################################
##Sheet_Prop:disable_row_filtering
#CrossProbeTag:AC_CP02_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId,Clock,Original Period,Modified Period
1,SYSTEM_TOP.UART_CLK,271.266998,271.25
2,SYSTEM_TOP.TX_CLK,8680.543945,8680.00
