################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sun Aug 24 23:37:11 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     Report Location  : ./system_top_spyglass/cdc/cdc_verify/spyglass_reports/clock-reset/Setup_port01/SYSTEM_TOP.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Setup_port01 Rule
#
################################################################################
##Sheet_Prop:disable_row_filtering
Port Name, Port Direction, Status, Constraint(s),Inferred Data-path domain(s)
"RX_IN",input,fully constrained,"input",-
"REF_CLK",input,fully constrained,"clock",-
"UART_CLK",input,fully constrained,"clock",-
"RST",input,partially constrained (suggested constraint abstract_port),"reset",-
