################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sun Aug 24 19:55:40 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     Report Location  : ./spyglass-1/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_06.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Clock Synchronization Checks
#
################################################################################
#CrossProbeTag:ADV_CLK_SYNC_SS_SCH
#RuleName:Ac_unsync01
##Sheet_Prop:disable_msg_grouping
##Sheet_Prop:disable_row_filtering
##Sheet_Prop:waiver_file_name:Ac_unsync01_waiver.csv
##Sheet_Prop:file_identifier:SYSTEM_TOP.U0_UART.U0_RX.stp_chk_inst.stp_err
##Sheet_Prop:coltooltip:7##Unique tag number generated for clock net connected to sequential element/black-box.
Schematic,Type,Signal Name,Failure Reason,Synchronization Scheme,Clock Names,Internal Clock Domain Tag,File:Line
14,Destination flop,SYSTEM_TOP.U0_UART.U0_RX.stp_chk_inst.stp_err,unsynchronized destination,N.A.,"SYSTEM_TOP.UART_CLK",1,../rtl/stop_check.v:12
14,Source flop,SYSTEM_TOP.U0_REG_FILE.regfile[2][7:3],"Qualifier not found",N.A.,"SYSTEM_TOP.REF_CLK",0,../rtl/REG_FILE.v:37
