################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sun Aug 24 23:36:52 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     Report Location  : ./system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_coherency06/Ac_coherency06_3.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#     Comment          : CSV File Ac_coherency06
#
################################################################################
##Sheet_Prop:disable_row_filtering
#CrossProbeTag:AC_COHERENCY06_SS_SCH
##Sheet_Prop:coltooltip:5##Unique tag number generated for clock net connected to sequential element/black-box.
Schematic,Type,Signal Name,Clock Names,Internal Clock Domain Tag,Synchronization Method
5,Source flop,SYSTEM_TOP.U0_ASYN_FIFO.U0_FIFO_RD.r_ptr[3],"SYSTEM_TOP.TX_CLK",1,-
6,Destination flop,SYSTEM_TOP.U0_ASYN_FIFO.U1_SYNC_R2W.q[0][3:2],"SYSTEM_TOP.REF_CLK",0,"Conventional multi-flop for metastability technique"
