
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Ac_conv02.csv
#     Report Created by: ICer
#     Report Created on:  Sun Aug 24 19:55:44 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
##Sheet_Prop:hidecols:9
##Sheet_Prop:coltooltip:6##Same sources reconvergence
##Sheet_Prop:coltooltip:7##Indicates whether the source is scalar or not
ID,CONVERGING GATE,GATE TYPE,NUMBER OF SYNCHRONIZERS, STATUS, SOURCE DIVERGENCE,SCALAR SOURCE,WAIVED,CSV FILE
74,SYSTEM_TOP.F_EMPTY,combinational gate,4,PASSED,direct,no,no,spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_conv02/ac_conv_01.csv
77,SYSTEM_TOP.F_FULL,combinational gate,4,Partially-Proved,direct,no,no,spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_conv02/ac_conv_02.csv
