
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Ac_unsync01.csv
#     Report Created by: ICer
#     Report Created on:  Sun Aug 24 23:36:51 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
##Sheet_Prop:hidecols:10
##Sheet_Prop:cross-probecol:1
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%3} -to {%5} -from_type {clock} -to_type {clock} -display_name  {cdc_false_path (clock->clock)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%2} -to {%4} -from_type {data} -to_type {data} -display_name  {cdc_false_path (data->data)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%2} -to {%5} -from_type {data} -to_type {clock} -display_name  {cdc_false_path (data->clock)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%3} -to {%4} -from_type {clock} -to_type {data} -display_name  {cdc_false_path (clock->data)}
ID,SOURCE,SOURCE CLOCK,DEST.,DEST. CLOCK,REASON,TOTAL SOURCES,TOTAL SOURCE DOMAINS,WAIVED,CSV FILE
9,SYSTEM_TOP.U0_REG_FILE.regfile[2][1],SYSTEM_TOP.REF_CLK,SYSTEM_TOP.U0_UART.U0_TX.U0_PARITY_CALC.par_bit,SYSTEM_TOP.TX_CLK,"Qualifier not found",1,1,yes,system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_02.csv
11,SYSTEM_TOP.U0_REG_FILE.regfile[2][7:3],SYSTEM_TOP.REF_CLK,SYSTEM_TOP.U0_UART.U0_RX.stp_chk_inst.stp_err,SYSTEM_TOP.UART_CLK,"Qualifier not found",1,1,yes,system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_06.csv
12,SYSTEM_TOP.U0_REG_FILE.regfile[2][7:3],SYSTEM_TOP.REF_CLK,SYSTEM_TOP.U0_UART.U0_RX.strt_chk_inst.strt_glitch,SYSTEM_TOP.UART_CLK,"Qualifier not found",1,1,yes,system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_07.csv
14,SYSTEM_TOP.U0_REG_FILE.regfile[2][7:3],SYSTEM_TOP.REF_CLK,SYSTEM_TOP.U0_UART.U0_RX.par_chk_inst.par_err,SYSTEM_TOP.UART_CLK,"Qualifier not found",2,1,yes,system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_08.csv
18,SYSTEM_TOP.U0_REG_FILE.regfile[2][7:2],SYSTEM_TOP.REF_CLK,SYSTEM_TOP.RX_CLK_DIV.odd_flag_toggle,SYSTEM_TOP.UART_CLK,"Qualifier not found",1,1,yes,system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_11.csv
19,SYSTEM_TOP.U0_REG_FILE.regfile[2][7:2],SYSTEM_TOP.REF_CLK,SYSTEM_TOP.RX_CLK_DIV.div_clk,SYSTEM_TOP.UART_CLK,"Qualifier not found",1,1,yes,system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_12.csv
1B,SYSTEM_TOP.U0_REG_FILE.regfile[3][7:0],SYSTEM_TOP.REF_CLK,SYSTEM_TOP.TX_CLK_DIV.odd_flag_toggle,SYSTEM_TOP.UART_CLK,"Qualifier not found",1,1,yes,system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_14.csv
1C,SYSTEM_TOP.U0_REG_FILE.regfile[3][7:0],SYSTEM_TOP.REF_CLK,SYSTEM_TOP.TX_CLK_DIV.div_clk,SYSTEM_TOP.UART_CLK,"Qualifier not found",1,1,yes,system_top_spyglass/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Ac_unsync/ac_unsync_15.csv
